?city ?year ?population .
<http://dbpedia.org/resource/Iriga> "2010" "105919"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Jolo> "2010" "118307"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Kabankalan> "2010" "167666"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Kalookan> "2010" "1489040"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Kidapawan> "2010" "125447"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Koronadal> "2010" "158273"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/La%20Trinidad> "2010" "107188"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Laoag> "2010" "104904"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lapu-Lapu> "2010" "350467"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Las%20Pi%C3%B1as> "2010" "552573"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Legazpi> "2010" "182201"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Libmanan> "2010" "100002"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Philippines%3A%20Ligao> "2010" "104914"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Liloan> "2010" "100500"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lipa> "2010" "283468"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Los%20Ba%C3%B1os> "2010" "101884"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lubao> "2010" "150843"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lucena%20City> "2010" "246392"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mabalacat> "2010" "215610"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Magalang> "2010" "103597"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Makati> "2010" "529039"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Malabalay> "2010" "153085"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Malabon> "2010" "353337"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Malasiqui> "2010" "123566"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Malita> "2010" "109568"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Malolos> "2010" "234945"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mandaluyong> "2010" "328699"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mandaue> "2010" "331320"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Manila> "2010" "1652171"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Marawi> "2010" "187106"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Marikina> "2010" "424150"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Marilao> "2010" "185624"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mariveles> "2010" "112707"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mati> "2010" "126143"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mexico_City> "2010" "146851"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Meycauayan> "2010" "199154"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Midsayap> "2010" "134170"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Minglanilla> "2010" "113178"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Muntinlupa> "2010" "459941"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Naga%20%28Camarines%20Sur%29> "2010" "174931"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Naga%20%28Cebu%29> "2010" "101571"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Nasugbu> "2010" "122483"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Navotas> "2010" "249131"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Norzagaray> "2010" "103095"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Olongapo> "2010" "221178"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ormoc> "2010" "191200"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ozamis> "2010" "131527"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pagadian> "2010" "186852"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Panabo> "2010" "174364"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Paranaque> "2010" "588126"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pasay> "2010" "392869"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pasig> "2010" "669773"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pikit> "2010" "113014"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Plaridel> "2010" "101441"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Polomolok> "2010" "138273"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Porac> "2010" "111441"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Puerto%20Princesa> "2010" "222673"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Quezon%20City> "2010" "2761720"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rodriguez%20%28Montalban%29> "2010" "280904"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rosario> "2010" "105561"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Roxas> "2010" "156197"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Sagay%20City> "2010" "140740"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Carlos%20%28Negros%20Occidental%29> "2010" "129981"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Carlos%20%28Pangasinan%29> "2010" "175103"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Fernando%2C_Trinidad_and_Tobago> "2010" "114963"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Jose> "2010" "131188"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Fernando%2C_Trinidad_and_Tobago> "2010" "285912"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Jose%20City> "2010" "129424"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Jose%20Del%20Monte> "2010" "454553"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Juan%2C_Puerto_Rico> "2010" "121430"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Mateo> "2010" "205255"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Miguel> "2010" "142854"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Pablo> "2010" "248890"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Pedro> "2010" "294310"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Cruz> "2010" "110943"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Maria> "2010" "218351"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Rosa> "2010" "284670"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santiago> "2010" "132804"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santo%20Tomas> "2010" "109269"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santo%20Tomas> "2010" "124740"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Sariaya> "2010" "138894"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Silang> "2010" "213490"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Silay> "2010" "120999"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Sorsogon> "2010" "155144"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Surigao> "2010" "140540"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tabaco> "2010" "125083"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tabuk> "2010" "103912"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tacloban> "2010" "221174"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Taguig> "2010" "644473"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tagum> "2010" "242801"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Talavera> "2010" "112515"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Talisay> "2010" "200772"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tanauan> "2010" "152393"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tanza> "2010" "188755"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tarlac> "2010" "318332"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Taytay> "2010" "288956"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Toledo%2C_Spain> "2010" "157078"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Trece%20Martires> "2010" "104559"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tuguegarao> "2010" "138865"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Urdaneta> "2010" "125451"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Valencia> "2010" "181556"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Valenzuela> "2010" "575356"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Zamboanga> "2010" "807129"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Angeles> "2007" "317398"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Bacolod> "2007" "499497"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pegu> "2007" "159933"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Baguio> "2007" "301926"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Batangas> "2007" "295231"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Butuan> "2007" "298378"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cabanatuan> "2007" "259267"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cadiz> "2007" "150750"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cagayan%20De%20Oro> "2007" "553966"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Calbayog> "2007" "163657"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cebu> "2007" "799762"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cotabato> "2007" "259153"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Dagupan> "2007" "149554"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Davao> "2007" "1366153"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Digos> "2007" "145514"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Dumaguete> "2007" "116392"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/General%20Santos> "2007" "529542"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gingoog> "2007" "112247"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Iligan> "2007" "308046"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Iloilo> "2007" "418710"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Kabankalan> "2007" "166970"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Kalookan> "2007" "1381610"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Kidapawan> "2007" "117610"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Koronadal> "2007" "149622"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lapu-Lapu> "2007" "292530"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Las%20Pi%C3%B1as> "2007" "532330"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Legazpi> "2007" "175843"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lipa> "2007" "260568"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lucena%20City> "2007" "236390"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Makati> "2007" "548983"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Malabalay> "2007" "144065"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Malabon> "2007" "363681"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Malolos> "2007" "225244"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mandaluyong> "2007" "305576"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mandaue> "2007" "318577"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Manila> "2007" "1660714"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Marawi> "2007" "177391"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Marikina> "2007" "424610"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Muntinlupa> "2007" "452943"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Naga%20%28Camarines%20Sur%29> "2007" "160516"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Navotas> "2007" "245344"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Olongapo> "2007" "227270"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ormoc> "2007" "178605"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ozamis> "2007" "123137"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pagadian> "2007" "161312"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Paranaque> "2007" "552660"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pasay> "2007" "403064"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pasig> "2007" "627445"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Puerto%20Princesa> "2007" "210508"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Quezon%20City> "2007" "2679450"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Roxas> "2007" "147738"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Sagay%20City> "2007" "140511"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Carlos%20%28Negros%20Occidental%29> "2007" "129809"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Carlos%20%28Pangasinan%29> "2007" "161884"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Fernando%2C_Trinidad_and_Tobago> "2007" "114813"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Fernando%2C_Trinidad_and_Tobago> "2007" "269365"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Juan%2C_Puerto_Rico> "2007" "125338"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Pablo> "2007" "237259"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Silay> "2007" "120365"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Surigao> "2007" "132151"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tacloban> "2007" "218144"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Taguig> "2007" "613343"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tagum> "2007" "215967"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tarlac> "2007" "314155"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Toledo%2C_Spain> "2007" "152960"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tuguegarao> "2007" "129539"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Valenzuela> "2007" "568928"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Zamboanga> "2007" "774407"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Angeles> "2000" "267788"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Bacolod> "2000" "429076"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pegu> "2000" "141721"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Baguio> "2000" "252386"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Basilan> "2000" "332828"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Batangas> "2000" "247588"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Butuan> "2000" "267279"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cabanatuan> "2000" "222859"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cadiz> "2000" "141954"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cagayan%20De%20Oro> "2000" "461877"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Calbayog> "2000" "147187"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cebu> "2000" "718821"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cotabato> "2000" "163849"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Dagupan> "2000" "130328"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Davao> "2000" "1147116"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Digos> "2000" "125171"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Dumaguete> "2000" "102265"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/General%20Santos> "2000" "471822"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gingoog> "2000" "102379"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Iligan> "2000" "285061"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Iloilo> "2000" "366391"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Kabankalan> "2000" "149769"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Kalookan> "2000" "1177604"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Kidapawan> "2000" "101205"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Koronadal> "2000" "133786"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lapu-Lapu> "2000" "217019"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Las%20Pi%C3%B1as> "2000" "472780"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Legazpi> "2000" "157010"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lipa> "2000" "218447"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lucena%20City> "2000" "196075"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Makati> "2000" "471379"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Malabalay> "2000" "123672"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Malabon> "2000" "338855"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Malolos> "2000" "175291"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mandaluyong> "2000" "278474"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mandaue> "2000" "259728"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Manila> "2000" "1581082"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Marawi> "2000" "131090"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Marikina> "2000" "391170"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Muntinlupa> "2000" "379310"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Naga%20%28Camarines%20Sur%29> "2000" "137810"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Navotas> "2000" "230403"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Olongapo> "2000" "194260"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ormoc> "2000" "154297"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ozamis> "2000" "110420"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pagadian> "2000" "142585"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Paranaque> "2000" "449811"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pasay> "2000" "354908"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pasig> "2000" "505058"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Puerto%20Princesa> "2000" "161912"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Quezon%20City> "2000" "2173831"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Roxas> "2000" "126352"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Sagay%20City> "2000" "129765"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Carlos%20%28Negros%20Occidental%29> "2000" "118259"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Carlos%20%28Pangasinan%29> "2000" "154264"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Fernando%2C_Trinidad_and_Tobago> "2000" "221857"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Juan%2C_Puerto_Rico> "2000" "117680"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Pablo> "2000" "207927"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Silay> "2000" "107722"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Surigao> "2000" "118534"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tacloban> "2000" "178639"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Taguig> "2000" "467375"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tagum> "2000" "179531"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tarlac> "2000" "262481"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Toledo%2C_Spain> "2000" "141174"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tuguegarao> "2000" "120645"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Valenzuela> "2000" "485433"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Zamboanga> "2000" "601794"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Adamstown%2C_Pitcairn_Islands> "2013" "49"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Adamstown%2C_Pitcairn_Islands> "2012" "48"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Adamstown%2C_Pitcairn_Islands> "1993" "53"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Adamstown%2C_Pitcairn_Islands> "1992" "54"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Adamstown%2C_Pitcairn_Islands> "1991" "66"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Adamstown%2C_Pitcairn_Islands> "1990" "52"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Adamstown%2C_Pitcairn_Islands> "1989" "52"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Adamstown%2C_Pitcairn_Islands> "1987" "60"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Adamstown%2C_Pitcairn_Islands> "1986" "55"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Adamstown%2C_Pitcairn_Islands> "1985" "67"^^<http://www.w3.org/2001/XMLSchema#double> .
