?city ?year ?population .
<http://dbpedia.org/resource/Rawson-Trelew-Playa%20Uni%C3%B3n> "2012" "132097"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Resistencia> "2012" "400869"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/R%C3%ADo%20Cuarto> "2012" "167057"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rosario> "2012" "1277149"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Salta> "2012" "554291"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Juan%2C_Puerto_Rico> "2012" "480354"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Nicol%C3%A1s-Villa%20Constituci%C3%B3n> "2012" "181730"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Salvador%20de%20Jujuy-Palpal%C3%A1> "2012" "318287"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20F%C3%A9> "2012" "516203"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Rosa-Toay> "2012" "125354"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santiago%20del%20Estero-La%20Banda> "2012" "381767"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tucum%C3%A1n-Taf%C3%AD%20Viejo> "2012" "828258"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ushuaia-R%C3%ADo%20Grande> "2012" "127797"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Bah%C3%ADa%20Blanca-Cerri> "2010" "310151"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Buenos_Aires> "2010" "13047383.5911513"^^<http://www.w3.org/2001/XMLSchema#double> .
