# city	citylabel	year	population
http://harth.org/andreas/2017/citydata/unsd/cities#000800U	Río Cuarto	2015	172267
http://harth.org/andreas/2017/citydata/unsd/cities#000600U	BUENOS AIRES	2015	12847328
http://harth.org/andreas/2017/citydata/unsd/cities#000810U	Rosario	2015	1426517
http://harth.org/andreas/2017/citydata/unsd/cities#000590U	Bahía Blanca-Cerri	2015	307070
http://harth.org/andreas/2017/citydata/unsd/cities#000850U	San Juan	2015	514965
http://harth.org/andreas/2017/citydata/unsd/cities#000820U	Salta	2015	623941
http://harth.org/andreas/2017/citydata/unsd/cities#000805U	Rio Gallegos	2015	110107
http://harth.org/andreas/2017/citydata/unsd/cities#000790U	Resistencia	2015	409056
http://harth.org/andreas/2017/citydata/unsd/cities#000908U	Ushuaia-Río Grande	2015	137371
http://harth.org/andreas/2017/citydata/unsd/cities#000750U	Neuquén-Plottier	2015	308314
http://harth.org/andreas/2017/citydata/unsd/cities#000695U	La Rioja	2015	203257
http://harth.org/andreas/2017/citydata/unsd/cities#000720U	Mar del Plata-Batán	2015	635022
http://harth.org/andreas/2017/citydata/unsd/cities#000905U	Tucumán-Tafí Viejo	2015	867724
http://harth.org/andreas/2017/citydata/unsd/cities#000900U	Santiago del Estero-La Banda	2015	405054
http://harth.org/andreas/2017/citydata/unsd/cities#000890U	Santa Fé	2015	529379
http://harth.org/andreas/2017/citydata/unsd/cities#000895U	Santa Rosa-Toay	2015	125513
http://harth.org/andreas/2017/citydata/unsd/cities#000870U	San Nicolás-Villa Constitución	2015	188937
http://harth.org/andreas/2017/citydata/unsd/cities#000880U	San Salvador de Jujuy-Palpalá	2015	337748
http://harth.org/andreas/2017/citydata/unsd/cities#000590U	Bahía Blanca-Cerri	2013	317325.704982449
http://harth.org/andreas/2017/citydata/unsd/cities#000600U	BUENOS AIRES	2013	13339001.6015536
http://harth.org/andreas/2017/citydata/unsd/cities#000630U	Concordia	2013	157705.748550135
http://harth.org/andreas/2017/citydata/unsd/cities#000610U	Catamarca	2013	215795.389398648
http://harth.org/andreas/2017/citydata/unsd/cities#000690U	La Plata	2013	764468.872784661
http://harth.org/andreas/2017/citydata/unsd/cities#000715U	San Luis - El Chorrillo	2013	216609.517202332
http://harth.org/andreas/2017/citydata/unsd/cities#000695U	La Rioja	2013	193763.58807037
http://harth.org/andreas/2017/citydata/unsd/cities#000650U	Corrientes	2013	373981.279268183
http://harth.org/andreas/2017/citydata/unsd/cities#000660U	Formosa	2013	253508.104025216
http://harth.org/andreas/2017/citydata/unsd/cities#000770U	Posadas	2013	312162.868950168
http://harth.org/andreas/2017/citydata/unsd/cities#000790U	Resistencia	2013	406284.472613334
http://harth.org/andreas/2017/citydata/unsd/cities#000810U	Rosario	2013	1284951.22445876
http://harth.org/andreas/2017/citydata/unsd/cities#000620U	Comodoro Rivadavia-Rada Tilly	2013	146557.365847925
http://harth.org/andreas/2017/citydata/unsd/cities#000640U	Córdoba	2013	1442000.64659388
http://harth.org/andreas/2017/citydata/unsd/cities#000820U	Salta	2013	562807.15066998
http://harth.org/andreas/2017/citydata/unsd/cities#000850U	San Juan	2013	486313.228956941
http://harth.org/andreas/2017/citydata/unsd/cities#000895U	Santa Rosa-Toay	2013	127398.589387156
http://harth.org/andreas/2017/citydata/unsd/cities#000800U	Río Cuarto	2013	168400.500188638
http://harth.org/andreas/2017/citydata/unsd/cities#000760U	Paraná	2013	286659.493034397
http://harth.org/andreas/2017/citydata/unsd/cities#000905U	Tucumán-Tafí Viejo	2013	836411.619309512
http://harth.org/andreas/2017/citydata/unsd/cities#000750U	Neuquén-Plottier	2013	277609.714022646
http://harth.org/andreas/2017/citydata/unsd/cities#000720U	Mar del Plata-Batán	2013	633905.593145199
http://harth.org/andreas/2017/citydata/unsd/cities#000590U	Bahía Blanca-Cerri	2012	314948
http://harth.org/andreas/2017/citydata/unsd/cities#000600U	BUENOS AIRES	2012	13242375
http://harth.org/andreas/2017/citydata/unsd/cities#000730U	Mendoza	2013	923203.297204453
http://harth.org/andreas/2017/citydata/unsd/cities#000620U	Comodoro Rivadavia-Rada Tilly	2012	145475
http://harth.org/andreas/2017/citydata/unsd/cities#000610U	Catamarca	2012	212174
http://harth.org/andreas/2017/citydata/unsd/cities#000908U	Ushuaia-Río Grande	2013	130617.023030331
http://harth.org/andreas/2017/citydata/unsd/cities#000660U	Formosa	2012	249062
http://harth.org/andreas/2017/citydata/unsd/cities#000900U	Santiago del Estero-La Banda	2013	387320.455373139
http://harth.org/andreas/2017/citydata/unsd/cities#000690U	La Plata	2012	757980
http://harth.org/andreas/2017/citydata/unsd/cities#000890U	Santa Fé	2013	521233.02888211
http://harth.org/andreas/2017/citydata/unsd/cities#000880U	San Salvador de Jujuy-Palpalá	2013	322872.909734593
http://harth.org/andreas/2017/citydata/unsd/cities#000715U	San Luis - El Chorrillo	2012	212154
http://harth.org/andreas/2017/citydata/unsd/cities#000720U	Mar del Plata-Batán	2012	628672
http://harth.org/andreas/2017/citydata/unsd/cities#000695U	La Rioja	2012	189845
http://harth.org/andreas/2017/citydata/unsd/cities#000770U	Posadas	2012	307619
http://harth.org/andreas/2017/citydata/unsd/cities#000785U	Rawson-Trelew-Playa Unión	2012	132097
http://harth.org/andreas/2017/citydata/unsd/cities#000640U	Córdoba	2012	1429922
http://harth.org/andreas/2017/citydata/unsd/cities#000650U	Corrientes	2012	368778
http://harth.org/andreas/2017/citydata/unsd/cities#000630U	Concordia	2012	155905
http://harth.org/andreas/2017/citydata/unsd/cities#000850U	San Juan	2012	480354
