http://citydata.wu.ac.at/resource/112/004760#000001	Baranovichi	2012	170263
http://citydata.wu.ac.at/resource/112/004760#000001	Baranovichi	2013	173932
http://citydata.wu.ac.at/resource/112/004770#000001	Bobruisk	1999	220653
http://citydata.wu.ac.at/resource/112/004770#000001	Bobruisk	2003	220972
http://citydata.wu.ac.at/resource/112/004770#000001	Bobruisk	2004	220062
http://citydata.wu.ac.at/resource/112/004770#000001	Bobruisk	2006	218756
http://citydata.wu.ac.at/resource/112/004770#000001	Bobruisk	2008	218415
http://citydata.wu.ac.at/resource/112/004770#000001	Bobruisk	2009	215092
http://citydata.wu.ac.at/resource/112/004770#000001	Bobruisk	2009	218993
http://citydata.wu.ac.at/resource/112/004770#000001	Bobruisk	2009	219036
http://citydata.wu.ac.at/resource/112/004770#000001	Bobruisk	2010	215474
http://citydata.wu.ac.at/resource/112/004770#000001	Bobruisk	2011	216093
http://citydata.wu.ac.at/resource/112/004770#000001	Bobruisk	2012	216825
http://citydata.wu.ac.at/resource/112/004770#000001	Bobruisk	2013	217394
http://citydata.wu.ac.at/resource/112/004780#000001	Borisov	1999	150730
http://citydata.wu.ac.at/resource/112/004780#000001	Borisov	2003	150474
http://citydata.wu.ac.at/resource/112/004780#000001	Borisov	2004	150148
http://citydata.wu.ac.at/resource/112/004780#000001	Borisov	2006	149788
http://citydata.wu.ac.at/resource/112/004780#000001	Borisov	2008	149835
http://citydata.wu.ac.at/resource/112/004780#000001	Borisov	2009	147381
http://citydata.wu.ac.at/resource/112/004780#000001	Borisov	2009	149768
http://citydata.wu.ac.at/resource/112/004780#000001	Borisov	2009	150006
http://citydata.wu.ac.at/resource/112/004780#000001	Borisov	2010	146745
http://citydata.wu.ac.at/resource/112/004780#000001	Borisov	2011	146159
http://citydata.wu.ac.at/resource/112/004780#000001	Borisov	2012	145769
http://citydata.wu.ac.at/resource/112/004780#000001	Borisov	2013	145441
http://citydata.wu.ac.at/resource/112/004790#000001	Brest	1999	286438
http://citydata.wu.ac.at/resource/112/004790#000001	Brest	2003	297301
http://citydata.wu.ac.at/resource/112/004790#000001	Brest	2004	300124
http://citydata.wu.ac.at/resource/112/004790#000001	Brest	2006	302348
