x,id,label,wikicity,isocode,clabel,wikicountry
http://eurostat.linked-statistics.org/dic/cities#DE520C,DE520C,Oldenburg,Q2936,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE521C,DE521C,Neuss,Q2948,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE522C,DE522C,Heidelberg,Q2966,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE523C,DE523C,Paderborn,Q2971,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE524C,DE524C,Würzburg,Q2999,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE525C,DE525C,Recklinghausen,Q3050,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE526C,DE526C,Wolfsburg,Q3014,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE527C,DE527C,Bremerhaven,Q2706,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE528C,DE528C,Bottrop,Q3069,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE529C,DE529C,Heilbronn,Q715,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE530C,DE530C,Remscheid,Q3097,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE531C,DE531C,Offenbach am Main,Q3042,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE532C,DE532C,Ulm,Q3012,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE533C,DE533C,Pforzheim,Q3046,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE534C,DE534C,Ingolstadt,Q3004,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE535C,DE535C,Gera,Q3750,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE536C,DE536C,Salzgitter,Q3200,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE537C,DE537C,Reutlingen,Q3085,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE538C,DE538C,Fürth,Q3075,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE539C,DE539C,Cottbus,Q3214,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE540C,DE540C,Siegen,Q3167,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE541C,DE541C,Bergisch Gladbach,Q3117,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE542C,DE542C,Hildesheim,Q3185,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE543C,DE543C,Witten,Q3764,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE544C,DE544C,Zwickau,Q3778,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE545C,DE545C,Erlangen,Q3126,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE546C,DE546C,Wuppertal,Q2107,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE547C,DE547C,Jena,Q3150,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#EE001C,EE001C,Tallinn,Q1770,EE,Estonia,Q191
http://eurostat.linked-statistics.org/dic/cities#EE002C,EE002C,Tartu,Q13972,EE,Estonia,Q191
http://eurostat.linked-statistics.org/dic/cities#IE001C,IE001C,Dublin,Q1761,IE,Ireland,Q27
http://eurostat.linked-statistics.org/dic/cities#IE002C,IE002C,Cork,Q36647,IE,Ireland,Q27
http://eurostat.linked-statistics.org/dic/cities#IE003C,IE003C,Limerick,Q133315,IE,Ireland,Q27
http://eurostat.linked-statistics.org/dic/cities#IE004C,IE004C,Galway,Q129610,IE,Ireland,Q27
http://eurostat.linked-statistics.org/dic/cities#IE005C,IE005C,Waterford,Q183551,IE,Ireland,Q27
http://eurostat.linked-statistics.org/dic/cities#EL001C,EL001C,Athina Temple,Q25167221,EL,Greece,Q41
http://eurostat.linked-statistics.org/dic/cities#EL002C,EL002C,Thessaloniki,Q17151,EL,Greece,Q41
http://eurostat.linked-statistics.org/dic/cities#EL003C,EL003C,Patras,Q133123,EL,Greece,Q41
http://eurostat.linked-statistics.org/dic/cities#EL004C,EL004C,Heraklion,Q160544,EL,Greece,Q41
http://eurostat.linked-statistics.org/dic/cities#EL005C,EL005C,Larissa,Q178405,EL,Greece,Q41
http://eurostat.linked-statistics.org/dic/cities#EL006C,EL006C,Volos,Q200036,EL,Greece,Q41
http://eurostat.linked-statistics.org/dic/cities#EL007C,EL007C,Dimos Ioánnina,Q25162198,EL,Greece,Q41
http://eurostat.linked-statistics.org/dic/cities#EL008C,EL008C,Kavala,Q187352,EL,Greece,Q41
http://eurostat.linked-statistics.org/dic/cities#EL009C,EL009C,Kalamata,Q6350358,EL,Greece,Q41
http://eurostat.linked-statistics.org/dic/cities#EL501C,EL501C,Piraeus,Q58976,EL,Greece,Q41
http://eurostat.linked-statistics.org/dic/cities#ES001C,ES001C,Madrid,Q2807,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES002C,ES002C,Barcelona,Q1492,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES003C,ES003C,Valencia,Q8818,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES004C,ES004C,Seville,Q8717,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES005C,ES005C,Zaragoza,Q10305,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES006C,ES006C,Málaga,Q8851,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES007C,ES007C,Murcia,Q12225,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES008C,ES008C,Las Palmas de Gran Canaria,Q11974,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES009C,ES009C,Valladolid,Q8356,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES010C,ES010C,Palma,Q8826,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES011C,ES011C,Santiago de Compostela,Q14314,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES012C,ES012C,Vitoria-Gasteiz,Q14318,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES013C,ES013C,Oviedo,Q14317,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES014C,ES014C,Pamplona,Q10282,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES015C,ES015C,Santander,Q12233,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES016C,ES016C,Toledo,Q5836,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES017C,ES017C,Badajoz,Q15679,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES018C,ES018C,Logroño,Q14325,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES019C,ES019C,Bilbao,Q8692,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES020C,ES020C,Córdoba,Q5818,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES021C,ES021C,Alicante,Q11959,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES022C,ES022C,Vigo,Q8745,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES023C,ES023C,Gijón,Q12273,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES024C,ES024C,L'Hospitalet de Llobregat (lungsod),Q23999262,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES025C,ES025C,Santa Cruz de Tenerife,Q14328,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES501C,ES501C,Granada,Q8810,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES026C,ES026C,A Coruña,Q8757,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES503C,ES503C,Badalona,Q15468,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES504C,ES504C,Móstoles (munisipyo),Q24012719,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES505C,ES505C,Elche,Q10509,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES506C,ES506C,Cartagena,Q162615,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES507C,ES507C,Sabadell,Q12258,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES508C,ES508C,Jerez de la Frontera,Q12303,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES509C,ES509C,Fuenlabrada (munisipyo),Q24012745,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES510C,ES510C,Donostia/San Sebastián,Q10313,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES511C,ES511C,Alcalá de Henares,Q46940,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES512C,ES512C,Terrassa,Q13939,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES513C,ES513C,Unión por Leganés,Q6157189,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES514C,ES514C,Almería,Q10400,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES515C,ES515C,Burgos,Q9580,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES516C,ES516C,Salamanca,Q15695,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES517C,ES517C,Escudo de Alcorcón,Q22991401,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES518C,ES518C,Getafe,Q8802,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES519C,ES519C,Albacete,Q15095,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES520C,ES520C,Castellón de la Plana,Q15092,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES521C,ES521C,Huelva,Q12246,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES522C,ES522C,Cádiz,Q15682,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES523C,ES523C,León,Q15699,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES524C,ES524C,San Cristóbal de La Laguna,Q54898,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES525C,ES525C,Tarragona,Q15088,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES526C,ES526C,Santa Coloma de Gramenet (lungsod),Q23993246,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES527C,ES527C,Jaén,Q15681,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES528C,ES528C,Lleida,Q15090,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES529C,ES529C,Ourense,Q99151,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES530C,ES530C,Mataró (munisipyo),Q24009568,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES531C,ES531C,Dos Hermanas,Q5813711,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES532C,ES532C,Algeciras Port,Q24021209,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES533C,ES533C,Marbella,Q484799,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES534C,ES534C,Torrejón de Ardoz (munisipyo),Q24012681,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#ES535C,ES535C,Alcobendas,Q487679,ES,Spain,Q29
http://eurostat.linked-statistics.org/dic/cities#FR001C,FR001C,Paris,Q90,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR003C,FR003C,Lyon,Q456,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR004C,FR004C,Toulouse,Q7880,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR006C,FR006C,Strasbourg,Q6602,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR007C,FR007C,Bordeaux,Q1479,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR008C,FR008C,Nantes,Q12191,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR009C,FR009C,Lille,Q648,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR010C,FR010C,Montpellier,Q6441,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR011C,FR011C,Saint-Etienne,Q42716,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR012C,FR012C,Le Havre,Q42810,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR013C,FR013C,Rennes,Q647,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR014C,FR014C,Amiens,Q41604,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR015C,FR015C,Rouen,Q30974,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR016C,FR016C,Nancy,Q40898,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR017C,FR017C,Metz,Q22690,FR,France,Q142
