item,itemLabel,pop,area
http://www.wikidata.org/entity/Q3085,Reutlingen,114427,87.06
http://www.wikidata.org/entity/Q3110,San Salvador,567698,72.25
http://www.wikidata.org/entity/Q3118,Oryol,319651,127.8
http://www.wikidata.org/entity/Q3138,Trier,114914,117140000
http://www.wikidata.org/entity/Q3150,Jena,108207,114.76
http://www.wikidata.org/entity/Q3159,Kursk,443212,190.75
http://www.wikidata.org/entity/Q3238,Tegucigalpa,1126534,201.5
http://www.wikidata.org/entity/Q3274,Managua,1028808,544000000
http://www.wikidata.org/entity/Q3306,Panama City,880691,275
http://www.wikidata.org/entity/Q3323,Belgorod,387090,153.1
http://www.wikidata.org/entity/Q3376,Trento,117185,157900000
http://www.wikidata.org/entity/Q3415,Ancona,100721,124.84
http://www.wikidata.org/entity/Q3426,Voronezh,1032382,596.51
http://www.wikidata.org/entity/Q3437,Perugia,166548,449.51
http://www.wikidata.org/entity/Q3490,Lipetsk,510020,330.15
http://www.wikidata.org/entity/Q3519,Bari,325183,116000000
http://www.wikidata.org/entity/Q3543,Potenza,67221,173000000
http://www.wikidata.org/entity/Q3544,Tambov,288414,90.89
http://www.wikidata.org/entity/Q3551,Rabat,577827,118
http://www.wikidata.org/entity/Q3579,Tripoli,1126000,400000000
http://www.wikidata.org/entity/Q3604,Djibouti,623891,630
http://www.wikidata.org/entity/Q3630,Jakarta,9607787,662
http://www.wikidata.org/entity/Q3640,Ankara,5270575,24521000000
http://www.wikidata.org/entity/Q3646,Krasnodar,881476,339.31
http://www.wikidata.org/entity/Q3659,N'Djamena,1092066,100000000
http://www.wikidata.org/entity/Q3674,Niamey,1026848,239300000
http://www.wikidata.org/entity/Q3688,Nouakchott,958399,1035995244
http://www.wikidata.org/entity/Q3711,Belgrade,1233796,359.96
http://www.wikidata.org/entity/Q3726,Banjul,31356,12.2
http://www.wikidata.org/entity/Q3733,Conakry,1667864,450000000
http://www.wikidata.org/entity/Q3739,Bissau,395954,77.5
http://www.wikidata.org/entity/Q3761,Accra,2291352,173000000
http://www.wikidata.org/entity/Q3766,Damascus,1711000,105
http://www.wikidata.org/entity/Q3766,Damascus,1754000,105
http://www.wikidata.org/entity/Q3780,Freetown,862419,357000000
http://www.wikidata.org/entity/Q3780,Freetown,951000,357000000
http://www.wikidata.org/entity/Q3792,Lomé,837437,90000000
http://www.wikidata.org/entity/Q3805,Amman,4007526,1680000000
http://www.wikidata.org/entity/Q3808,Yaoundé,2440462,180
http://www.wikidata.org/entity/Q3820,Beirut,361366,20000000
http://www.wikidata.org/entity/Q3832,Bangui,734350,67339690
http://www.wikidata.org/entity/Q3844,Brazzaville,1827000,263.9
http://www.wikidata.org/entity/Q3869,Marburg,73836,124500000
http://www.wikidata.org/entity/Q3871,Coquimbo,200117,1429.3
http://www.wikidata.org/entity/Q3874,Gießen,84455,72560000
http://www.wikidata.org/entity/Q3881,Lusaka,2467467,360
http://www.wikidata.org/entity/Q3889,Maputo,1766184,346770000
http://www.wikidata.org/entity/Q3894,Kampala,1659600,189000000
http://www.wikidata.org/entity/Q3909,Maseru,227880,138000000
http://www.wikidata.org/entity/Q3921,Harare,1606000,960600000
http://www.wikidata.org/entity/Q3927,Astrakhan,531719,209
http://www.wikidata.org/entity/Q3929,Port Louis,148001,46700000
http://www.wikidata.org/entity/Q3940,Victoria,26450,20100000
http://www.wikidata.org/entity/Q3955,Weimar,64131,84.48
http://www.wikidata.org/entity/Q3989,Bergheim,60390,96.33
http://www.wikidata.org/entity/Q4035,Osasco,694844,65
http://www.wikidata.org/entity/Q4044,Offenburg,57687,78.38
http://www.wikidata.org/entity/Q4093,Glasgow,598830,3298
http://www.wikidata.org/entity/Q4100,Baden-Baden,54160,140.21
http://www.wikidata.org/entity/Q4140,Waiblingen,53407,42.76
http://www.wikidata.org/entity/Q6576,Irkutsk,623424,432
http://www.wikidata.org/entity/Q6580,Rome,34980,77300000
http://www.wikidata.org/entity/Q6586,Rome,34950,196062099
http://www.wikidata.org/entity/Q6610,Yakutsk,303836,122
http://www.wikidata.org/entity/Q6640,Pokhara,353841,56
http://www.wikidata.org/entity/Q6761,Livorno,159020,104800000
http://www.wikidata.org/entity/Q6816,Ulan-Ude,430550,347.6
http://www.wikidata.org/entity/Q6837,Lutherstadt Wittenberg,46475,240320000
http://www.wikidata.org/entity/Q6916,Herzogenrath,46398,33.38
http://www.wikidata.org/entity/Q6934,Blagoveshchensk,224335,321
http://www.wikidata.org/entity/Q6992,Alsdorf,46337,31.68
http://www.wikidata.org/entity/Q7022,Fellbach,45147,27.7
http://www.wikidata.org/entity/Q7024,Lugano,63583,75000000
http://www.wikidata.org/entity/Q7038,Girona,98255,39.1
http://www.wikidata.org/entity/Q7050,Weinheim,43892,58.11
http://www.wikidata.org/entity/Q7057,Lehrte,43639,127000000
http://www.wikidata.org/entity/Q7067,Bietigheim-Bissingen,42968,31.29
http://www.wikidata.org/entity/Q7070,Eisenach,41884,104.17
http://www.wikidata.org/entity/Q7078,Rottenburg am Neckar,42240,142.27
http://www.wikidata.org/entity/Q7525,Sevastopol,428753,864000000
http://www.wikidata.org/entity/Q7550,Lutsk,217082,42000000
http://www.wikidata.org/entity/Q7859,Yuzhno-Sakhalinsk,193669,164.66
http://www.wikidata.org/entity/Q7880,Toulouse,458298,118.3
http://www.wikidata.org/entity/Q7968,Magadan,95982,295
http://www.wikidata.org/entity/Q8336,Hockenheim,21011,34.84
http://www.wikidata.org/entity/Q8356,Valladolid,301876,197910000
